,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Brands""",,,,,"""Regions""",,,,,"""Products""",2133 records,,,,,"""Events""",2133 records,,,,,,,,,,,,
brand_id,brand,parent_company,,,region_id,region_name,,,,sku,product_name,category_id (FK),price_usd,,,event_id,brand_id (FK),location_id (FK),location_type_id (FK),event_type_id (FK),sku (FK),start_date,end_date,lease_length_days,avg_daily_footfall,units_sold,units_allocated,sell_through_pct,sales_conversion_rate
1,Charlotte Tilbury,Puig,,,1,North America,,,,LE-UQYNQA1A,Charlotte Tilbury Glow Mascara,1,62.21,,,POP100282,1,1,1,1,LE-UQYNQA1A,2024-02-25,2024-03-02,6,1107,3056,3089.989889,0.989,0.4601
2,Valentino Beauty,L’Oréal Group,,,2,Europe,,,,LE-9E9FTDSM,Valentino Beauty Pearl Eyeshadow Palette,1,77.93,,,POP102014,2,2,2,1,LE-9E9FTDSM,2024-03-17,2024-06-09,84,1652,2782,3222.891566,0.8632,0.02
3,YSL Beauty,L’Oréal Group,,,3,Asia-Pacific,,,,LE-W921CLUG,YSL Beauty Glow Eyeshadow Palette,1,149.91,,,POP101719,3,3,2,2,LE-W921CLUG,2025-02-26,2025-03-10,12,752,2720,3931.772188,0.6918,0.3014
4,Hermès Beauty,Hermès International,,,4,Latin America,,,,LE-MPO4BX6H,Hermès Beauty Pearl Highlighter,2,80.32,,,POP100994,4,4,2,2,LE-MPO4BX6H,2025-07-06,2025-08-04,29,1688,203,303.9832285,0.6678,0.0041
5,Tom Ford Beauty,Estée Lauder Companies,,,5,Middle East,,,,LE-M3D94MYP,Tom Ford Beauty Noir Highlighter,2,56.15,,,POP102033,5,5,3,3,LE-M3D94MYP,2024-12-06,2024-12-25,19,1012,1292,1612.98377,0.801,0.0672
6,Givenchy Beauty,LVMH,,,,,,,,LE-XC24B5BF,Givenchy Beauty Opulence Lipstick,3,38.53,,,POP100297,6,6,2,4,LE-XC24B5BF,2025-02-09,2025-04-06,56,1405,489,847.0465962,0.5773,0.0062
7,Guerlain,LVMH,,,,,,,,LE-UM8IQ2M4,Guerlain Satin Blush,4,64.51,,,POP102051,7,7,4,5,LE-UM8IQ2M4,2025-01-07,2025-02-25,49,833,594,687.0229008,0.8646,0.0146
8,Rare Beauty,Private,,,,,,,,LE-VF37GYEW,Rare Beauty Lumière Setting Powder,5,58.7,,,POP101590,8,5,1,4,LE-VF37GYEW,2024-02-21,2024-05-08,77,951,2480,4404.191085,0.5631,0.0339
9,Pat McGrath Labs,Private,,,,,,,,LE-62JBXHRU,Pat McGrath Labs Satin Blush,4,47.17,,,POP100070,9,8,5,3,LE-62JBXHRU,2024-07-28,2024-08-19,22,1566,1574,2174.033149,0.724,0.0457
10,Estée Lauder,Estée Lauder,,,"""Events Types""",,,,,LE-S5MMVMDZ,Estée Lauder Mirage Highlighter,4,47.71,,,POP100290,10,5,2,4,LE-S5MMVMDZ,2024-03-31,2024-06-16,77,1333,2538,4149.092692,0.6117,0.0247
11,Armani Beauty,L’Oréal Group,,,event_type_id,event_type,,,,LE-4U7A4IY2,Armani Beauty Glow Fragrance,2,118.17,,,POP101727,11,1,3,3,LE-4U7A4IY2,2024-10-11,2025-01-08,89,2097,3307,3942.066992,0.8389,0.0177
12,La Prairie,Beiersdorf,,,1,Flash Event,,,,LE-QZSWQGCX,Charlotte Tilbury Opulence Eyeshadow Palette,1,93.38,,,POP102026,1,6,4,2,LE-QZSWQGCX,2024-04-30,2024-06-21,52,1313,2375,3550.074738,0.669,0.0348
13,MAC Cosmetics,Estée Lauder Companies,,,2,Standalone Pop-Up,,,,LE-6VLGOBDP,Givenchy Beauty Noir Eyeshadow Palette,1,67.69,,,POP100507,6,9,3,2,LE-6VLGOBDP,2024-04-04,2024-04-19,15,1240,2939,4826.736738,0.6089,0.158
14,Chanel,Chanel Limited,,,3,Shop-in-Shop,,,,LE-XBK5QA4S,La Prairie Glow Mascara,1,42.61,,,POP100921,12,1,4,1,LE-XBK5QA4S,2024-03-08,2024-04-06,29,921,2725,3202.867889,0.8508,0.102
15,NARS,Estée Lauder Companies,,,4,Mall Kiosk,,,,LE-AMSY19SB,MAC Cosmetics Noir Highlighter,4,77.8,,,POP101468,13,10,5,5,LE-AMSY19SB,2024-09-04,2024-12-02,89,974,2727,3506.042684,0.7778,0.0315
16,Sisley-Paris,Sisley,,,5,Mobile Pop-Up Truck,,,,LE-EX9VSIH6,YSL Beauty Mirage Fragrance,2,316.49,,,POP100450,3,11,2,4,LE-EX9VSIH6,2024-05-07,2024-07-18,72,1258,2852,4700.840613,0.6067,0.0315
17,Bobbi Brown,Estée Lauder Companies,,,,,,,,LE-8YA56CT5,Chanel Éclat Fragrance,2,211.05,,,POP101107,14,8,5,2,LE-8YA56CT5,2025-01-25,2025-04-23,88,2033,2870,3688.946015,0.778,0.016
18,Dior,LVMH,,,,,,,,LE-JWFNJJSV,NARS Lumière Highlighter,4,78.02,,,POP101795,15,12,1,3,LE-JWFNJJSV,2024-06-22,2024-07-08,16,1350,1637,2598.82521,0.6299,0.0758
19,Clé de Peau Beauté,Shiseido Company Limited,,,,,,,,LE-386SS2FI,Sisley-Paris Glow Primer,4,48.69,,,POP100196,16,10,3,3,LE-386SS2FI,2025-02-10,2025-02-18,8,2199,389,482.9898187,0.8054,0.0221
20,Huda Beauty,Private,,,"""Location Types""",,,,,LE-K4E6KSXV,Bobbi Brown Glow Highlighter,4,51.55,,,POP100109,17,13,1,1,LE-K4E6KSXV,2025-03-31,2025-06-07,68,621,3054,4779.342723,0.639,0.0723
21,Shiseido,Shiseido Company Limited,,,location_type_id,location_type,,,,LE-UF2MHEQ3,Dior Lumière Lipstick,3,54.11,,,POP101316,18,30,5,5,LE-UF2MHEQ3,2024-07-18,2024-08-29,42,896,803,1235.955056,0.6497,0.0213
22,Fenty Beauty,LVMH,,,1,Art/Design District,,,,LE-WTLTYMCW,Sisley-Paris Noir Foundation,5,119.54,,,POP101967,16,30,2,4,LE-WTLTYMCW,2024-04-25,2024-05-24,29,1425,1104,2112.110197,0.5227,0.0267
23,Hourglass,Unilever,,,2,Airport Duty-Free,,,,LE-3UBWPR86,Sisley-Paris Velvet Foundation,5,71.57,,,POP100298,16,16,2,5,LE-3UBWPR86,2024-03-10,2024-03-25,15,2168,2045,2777.023357,0.7364,0.0629
24,Lancôme,L’Oréal Group,,,3,High-Street,,,,LE-KE3UKZ0P,Armani Beauty Opulence Serum,2,232.34,,,POP100746,11,10,3,5,LE-KE3UKZ0P,2025-04-10,2025-04-27,17,2573,3294,4610.216935,0.7145,0.0753
,,,,,4,Department Store Atrium,,,,LE-BC3YJ44I,Hermès Beauty Velvet Mascara,1,49.93,,,POP100602,4,17,3,2,LE-BC3YJ44I,2024-04-22,2024-05-18,26,2220,2173,4140.625,0.5248,0.0376
,,,,,5,Luxury Mall,,,,LE-1VMHOQLW,La Prairie Éclat Lipstick,3,39.38,,,POP100342,12,1,5,1,LE-1VMHOQLW,2024-04-06,2024-04-23,17,1606,743,1212.071778,0.613,0.0272
,,,,,,,,,,LE-VOI6Y1PF,Clé de Peau Beauté Pearl Lipstick,3,41.09,,,POP101507,19,17,2,5,LE-VOI6Y1PF,2025-04-06,2025-06-11,66,2007,1224,1224,1,0.0092
"""Product Categories""",,,,,,,,,,LE-PT8EMZ2G,Hermès Beauty Opulence Eyeshadow Palette,1,115.29,,,POP101343,4,18,1,3,LE-PT8EMZ2G,2025-02-08,2025-02-22,14,874,678,1465.945946,0.4625,0.0554
category_id,product_category,,,,,,,,,LE-5GC15BFT,Valentino Beauty Éclat Eyeshadow Palette,1,149.86,,,POP100111,2,3,2,3,LE-5GC15BFT,2024-10-03,2024-11-14,42,2219,118,264.9898945,0.4453,0.0013
1,Eye Products,,,,,,,,,LE-NO1K7GHO,Huda Beauty Éclat Setting Powder,5,83.66,,,POP101833,20,10,3,3,LE-NO1K7GHO,2025-04-06,2025-04-23,17,1456,885,1177.018221,0.7519,0.0358
2,Fragrances,,,,,,,,,LE-1K80FI4D,Hermès Beauty Noir Foundation,5,75.22,,,POP100792,4,16,2,3,LE-1K80FI4D,2025-04-27,2025-05-10,13,1493,1663,3445.917944,0.4826,0.0857
3,Lip Products,,,,,,,,,LE-QHSLVGI2,Chanel Mirage Mascara,1,30.75,,,POP100670,14,9,1,4,LE-QHSLVGI2,2024-09-05,2024-11-18,74,718,704,1058.965102,0.6648,0.0133
4,Other,,,,,,,,,LE-2NYM7JFC,NARS Rouge Highlighter,4,66.73,,,POP101841,15,12,4,2,LE-2NYM7JFC,2024-11-03,2024-12-20,47,1517,854,1291.005291,0.6615,0.012
5,Face Products,,,,,,,,,LE-DPH63DMG,Chanel Glow Serum,6,170.29,,,POP100818,14,12,4,1,LE-DPH63DMG,2024-07-04,2024-09-06,64,1605,2962,3253.157606,0.9105,0.0288
