event_id,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct
POP100282,Charlotte Tilbury,North America,Miami,Art/Design District,Flash Event,2024-02-25,2024-03-02,6,LE-UQYNQA1A,Charlotte Tilbury Glow Mascara,62.21,1107,3056,98.9
POP102014,Valentino Beauty,North America,New York,Airport Duty-Free,Flash Event,2024-03-17,2024-06-09,84,LE-9E9FTDSM,Valentino Beauty Pearl Eyeshadow Palette,77.93,1652,2782,86.32
POP101719,YSL Beauty,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2025-02-26,2025-03-10,12,LE-W921CLUG,YSL Beauty Glow Eyeshadow Palette,149.91,752,2720,69.18
POP100994,Hermès Beauty,North America,Chicago,Airport Duty-Free,Standalone Pop-Up,2025-07-06,2025-08-04,29,LE-MPO4BX6H,Hermès Beauty Pearl Highlighter,80.32,1688,203,66.78
POP102033,Tom Ford Beauty,Europe,London,High-Street,Shop-in-Shop,2024-12-06,2024-12-25,19,LE-M3D94MYP,Tom Ford Beauty Noir Highlighter,56.15,1012,1292,80.1
POP100297,Givenchy Beauty,Europe,Madrid,Airport Duty-Free,Mall Kiosk,2025-02-09,2025-04-06,56,LE-XC24B5BF,Givenchy Beauty Opulence Lipstick,38.53,1405,489,57.73
POP102051,Guerlain,Asia-Pacific,Tokyo,Department Store Atrium,Mobile Pop-Up Truck,2025-01-07,2025-02-25,49,LE-UM8IQ2M4,Guerlain Satin Blush,64.51,833,594,86.46
POP101590,Rare Beauty,Europe,London,Art/Design District,Mall Kiosk,2024-02-21,2024-05-08,77,LE-VF37GYEW,Rare Beauty Lumière Setting Powder,58.7,951,2480,56.31
POP100070,Pat McGrath Labs,North America,Toronto,Luxury Mall,Shop-in-Shop,2024-07-28,2024-08-19,22,LE-62JBXHRU,Pat McGrath Labs Satin Blush,47.17,1566,1574,72.4
POP100290,Estée Lauder,Europe,London,Airport Duty-Free,Mall Kiosk,2024-03-31,2024-06-16,77,LE-S5MMVMDZ,Estée Lauder Mirage Highlighter,47.71,1333,2538,61.17
POP101727,Armani Beauty,North America,Miami,High-Street,Shop-in-Shop,2024-10-11,2025-01-08,89,LE-4U7A4IY2,Armani Beauty Glow Fragrance,118.17,2097,3307,83.89
POP102026,Charlotte Tilbury,Europe,Madrid,Department Store Atrium,Standalone Pop-Up,2024-04-30,2024-06-21,52,LE-QZSWQGCX,Charlotte Tilbury Opulence Eyeshadow Palette,93.38,1313,2375,66.9
POP100507,Givenchy Beauty,Latin America,Buenos Aires,High-Street,Standalone Pop-Up,2024-04-04,2024-04-19,15,LE-6VLGOBDP,Givenchy Beauty Noir Eyeshadow Palette,67.69,1240,2939,60.89
POP100921,La Prairie,North America,Miami,Department Store Atrium,Flash Event,2024-03-08,2024-04-06,29,LE-XBK5QA4S,La Prairie Glow Mascara,42.61,921,2725,85.08
