event_id,parent_company,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,units_allocated,,sell_through_pct,,,"event_id is the unique identifier for each row, hence the PK"
POP100282,Puig,Charlotte Tilbury,North America,Miami,Art/Design District,Flash Event,2024-02-25,2024-03-02,6,LE-UQYNQA1A,Charlotte Tilbury Glow Mascara,62.21,1107,3056,3090,98.9,0.989,,,"added parent_company, headquarter_city, currency_code, rate_date for further queries aligned with our business requirements"
POP102014,L’Oréal Group,Valentino Beauty,North America,New York,Airport Duty-Free,Flash Event,2024-03-17,2024-06-09,84,LE-9E9FTDSM,Valentino Beauty Pearl Eyeshadow Palette,77.93,1652,2782,3223,86.32,0.8632,,,
POP101719,L’Oréal Group,YSL Beauty,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2025-02-26,2025-03-10,12,LE-W921CLUG,YSL Beauty Glow Eyeshadow Palette,149.91,752,2720,3932,69.18,0.6918,,,
POP100994,Hermès International,Hermès Beauty,North America,Chicago,Airport Duty-Free,Standalone Pop-Up,2025-07-06,2025-08-04,29,LE-MPO4BX6H,Hermès Beauty Pearl Highlighter,80.32,1688,203,304,66.78,0.6678,,,
POP102033,Estée Lauder Companies,Tom Ford Beauty,Europe,London,High-Street,Shop-in-Shop,2024-12-06,2024-12-25,19,LE-M3D94MYP,Tom Ford Beauty Noir Highlighter,56.15,1012,1292,1613,80.1,0.801,,,
POP100297,LVMH,Givenchy Beauty,Europe,Madrid,Airport Duty-Free,Mall Kiosk,2025-02-09,2025-04-06,56,LE-XC24B5BF,Givenchy Beauty Opulence Lipstick,38.53,1405,489,847,57.73,0.5773,,,
POP102051,LVMH,Guerlain,Asia-Pacific,Tokyo,Department Store Atrium,Mobile Pop-Up Truck,2025-01-07,2025-02-25,49,LE-UM8IQ2M4,Guerlain Satin Blush,64.51,833,594,687,86.46,0.8646,,,
POP101590,Private ,Rare Beauty,Europe,London,Art/Design District,Mall Kiosk,2024-02-21,2024-05-08,77,LE-VF37GYEW,Rare Beauty Lumière Setting Powder,58.7,951,2480,4404,56.31,0.5631,,,
POP100070,Private ,Pat McGrath Labs,North America,Toronto,Luxury Mall,Shop-in-Shop,2024-07-28,2024-08-19,22,LE-62JBXHRU,Pat McGrath Labs Satin Blush,47.17,1566,1574,2174,72.4,0.724,,,
POP100290,Estée Lauder,Estée Lauder,Europe,London,Airport Duty-Free,Mall Kiosk,2024-03-31,2024-06-16,77,LE-S5MMVMDZ,Estée Lauder Mirage Highlighter,47.71,1333,2538,4149,61.17,0.6117,,,
POP101727,L’Oréal Group,Armani Beauty,North America,Miami,High-Street,Shop-in-Shop,2024-10-11,2025-01-08,89,LE-4U7A4IY2,Armani Beauty Glow Fragrance,118.17,2097,3307,3942,83.89,0.8389,,,
POP102026,Puig,Charlotte Tilbury,Europe,Madrid,Department Store Atrium,Standalone Pop-Up,2024-04-30,2024-06-21,52,LE-QZSWQGCX,Charlotte Tilbury Opulence Eyeshadow Palette,93.38,1313,2375,3550,66.9,0.669,,,
POP100507,LVMH,Givenchy Beauty,Latin America,Buenos Aires,High-Street,Standalone Pop-Up,2024-04-04,2024-04-19,15,LE-6VLGOBDP,Givenchy Beauty Noir Eyeshadow Palette,67.69,1240,2939,4827,60.89,0.6089,,,
POP100921,Beiersdorf,La Prairie,North America,Miami,Department Store Atrium,Flash Event,2024-03-08,2024-04-06,29,LE-XBK5QA4S,La Prairie Glow Mascara,42.61,921,2725,3203,85.08,0.8508,,,
POP101468,Estée Lauder Companies,MAC Cosmetics,Asia-Pacific,Seoul,Luxury Mall,Mobile Pop-Up Truck,2024-09-04,2024-12-02,89,LE-AMSY19SB,MAC Cosmetics Noir Highlighter,77.8,974,2727,3506,77.78,0.7778,,,
POP100450,L’Oréal Group,YSL Beauty,Middle East,Riyadh,Airport Duty-Free,Mall Kiosk,2024-05-07,2024-07-18,72,LE-EX9VSIH6,YSL Beauty Mirage Fragrance,316.49,1258,2852,4701,60.67,0.6067,,,
POP101107,Chanel Limited,Chanel,North America,Toronto,Luxury Mall,Standalone Pop-Up,2025-01-25,2025-04-23,88,LE-8YA56CT5,Chanel Éclat Fragrance,211.05,2033,2870,3689,77.8,0.778,,,
POP101795,Estée Lauder Companies,NARS,Asia-Pacific,Shanghai,Art/Design District,Shop-in-Shop,2024-06-22,2024-07-08,16,LE-JWFNJJSV,NARS Lumière Highlighter,78.02,1350,1637,2599,62.99,0.6299,,,
POP100196,Sisley,Sisley-Paris,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-02-10,2025-02-18,8,LE-386SS2FI,Sisley-Paris Glow Primer,48.69,2199,389,483,80.54,0.8054,,,
POP100109,Estée Lauder Companies,Bobbi Brown,Latin America,Lima,Art/Design District,Flash Event,2025-03-31,2025-06-07,68,LE-K4E6KSXV,Bobbi Brown Glow Highlighter,51.55,621,3054,4779,63.9,0.639,,,
POP101316,LVMH,Dior,Latin America,,Luxury Mall,Mobile Pop-Up Truck,2024-07-18,2024-08-29,42,LE-UF2MHEQ3,Dior Lumière Lipstick,54.11,896,803,1236,64.97,0.6497,,,
POP101967,Sisley,Sisley-Paris,Europe,,Airport Duty-Free,Mall Kiosk,2024-04-25,2024-05-24,29,LE-WTLTYMCW,Sisley-Paris Noir Foundation,119.54,1425,1104,2112,52.27,0.5227,,,
POP100298,Sisley,Sisley-Paris,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,2024-03-10,2024-03-25,15,LE-3UBWPR86,Sisley-Paris Velvet Foundation,71.57,2168,2045,2777,73.64,0.7364,,,
POP100746,L’Oréal Group,Armani Beauty,Asia-Pacific,Seoul,High-Street,Mobile Pop-Up Truck,2025-04-10,2025-04-27,17,LE-KE3UKZ0P,Armani Beauty Opulence Serum,232.34,2573,3294,4610,71.45,0.7145,,,
POP100602,Hermès International,Hermès Beauty,Latin America,São Paulo,High-Street,Standalone Pop-Up,2024-04-22,2024-05-18,26,LE-BC3YJ44I,Hermès Beauty Velvet Mascara,49.93,2220,2173,4141,52.48,0.5248,,,
POP100342,Beiersdorf,La Prairie,North America,Miami,Luxury Mall,Flash Event,2024-04-06,2024-04-23,17,LE-1VMHOQLW,La Prairie Éclat Lipstick,39.38,1606,743,1212,61.3,0.613,,,
POP101507,Shiseido Company Limited,Clé de Peau Beauté,Latin America,São Paulo,Airport Duty-Free,Mobile Pop-Up Truck,2025-04-06,2025-06-11,66,LE-VOI6Y1PF,Clé de Peau Beauté Pearl Lipstick,41.09,2007,1224,1224,100,1,,,
POP101343,Hermès International,Hermès Beauty,Latin America,Bogotá,Art/Design District,Shop-in-Shop,2025-02-08,2025-02-22,14,LE-PT8EMZ2G,Hermès Beauty Opulence Eyeshadow Palette,115.29,874,678,1466,46.25,0.4625,,,
POP100111,L’Oréal Group,Valentino Beauty,Europe,Berlin,Airport Duty-Free,Shop-in-Shop,2024-10-03,2024-11-14,42,LE-5GC15BFT,Valentino Beauty Éclat Eyeshadow Palette,149.86,2219,118,265,44.53,0.4453,,,
POP101833,Private ,Huda Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-04-06,2025-04-23,17,LE-NO1K7GHO,Huda Beauty Éclat Setting Powder,83.66,1456,885,1177,75.19,0.7519,,,
POP100792,Hermès International,Hermès Beauty,Europe,Milan,Airport Duty-Free,Shop-in-Shop,2025-04-27,2025-05-10,13,LE-1K80FI4D,Hermès Beauty Noir Foundation,75.22,1493,1663,3446,48.26,0.4826,,,
POP100670,Chanel Limited,Chanel,Latin America,Buenos Aires,Art/Design District,Mall Kiosk,2024-09-05,2024-11-18,74,LE-QHSLVGI2,Chanel Mirage Mascara,30.75,718,704,1059,66.48,0.6648,,,
POP101841,Estée Lauder Companies,NARS,Asia-Pacific,Shanghai,Department Store Atrium,Standalone Pop-Up,2024-11-03,2024-12-20,47,LE-2NYM7JFC,NARS Rouge Highlighter,66.73,1517,854,1291,66.15,0.6615,,,
POP100818,Chanel Limited,Chanel,Asia-Pacific,Shanghai,Department Store Atrium,Flash Event,2024-07-04,2024-09-06,64,LE-DPH63DMG,Chanel Glow Serum,170.29,1605,2962,3253,91.05,0.9105,,,
POP101271,Private ,Rare Beauty,North America,Toronto,Department Store Atrium,Shop-in-Shop,2024-06-03,2024-06-16,13,LE-SQD56OOJ,Rare Beauty Satin Primer,66.23,1234,2515,4103,61.3,0.613,,,
POP101786,Private ,Rare Beauty,Europe,London,Art/Design District,Flash Event,2024-10-31,2024-12-25,55,LE-J9NIXMML,Rare Beauty Velvet Highlighter,85.35,1220,2725,3923,69.46,0.6946,,,
POP101910,Estée Lauder,Estée Lauder,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-03-31,2024-05-30,60,LE-MF69APHM,Estée Lauder Opulence Eyeshadow Palette,105.04,691,2296,4552,50.44,0.5044,,,
POP101481,Private ,Huda Beauty,Asia-Pacific,Hong Kong,Airport Duty-Free,Standalone Pop-Up,2024-07-24,2024-10-19,87,LE-LI3U40B5,Huda Beauty Éclat Primer,65.07,1001,3761,4042,93.05,0.9305,,,
POP100306,Sisley,Sisley-Paris,Middle East,Jeddah,Department Store Atrium,Mall Kiosk,2025-07-18,2025-07-25,7,LE-46F6IFBF,Sisley-Paris Éclat Serum,279.14,888,2551,4996,51.06,0.5106,,,
POP100367,L’Oréal Group,YSL Beauty,Europe,Madrid,Airport Duty-Free,Mobile Pop-Up Truck,2025-01-08,2025-01-14,6,LE-82NRN3EV,YSL Beauty Pearl Blush,41.05,785,2440,4124,59.17,0.5917,,,
POP100433,L’Oréal Group,Valentino Beauty,Latin America,São Paulo,Department Store Atrium,Mall Kiosk,2025-01-01,2025-03-20,78,LE-TX6NH9N8,Valentino Beauty Satin Fragrance,236.65,1466,2016,2814,71.64,0.7164,,,
POP100321,Estée Lauder Companies,MAC Cosmetics,Asia-Pacific,Singapore,Luxury Mall,Standalone Pop-Up,2025-04-18,2025-07-14,87,LE-UWU9ZFZE,MAC Cosmetics Glow Primer,59.63,852,1836,2223,82.59,0.8259,,,
POP101333,Puig,Charlotte Tilbury,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,2024-10-03,2024-11-10,38,LE-4LTAVIV9,Charlotte Tilbury Lumière Serum,84.34,1518,3254,3441,94.57,0.9457,,,
POP100582,Estée Lauder Companies,Bobbi Brown,Latin America,São Paulo,High-Street,Standalone Pop-Up,2025-06-15,2025-07-02,17,LE-TBHTA4C9,Bobbi Brown Mirage Lipstick,37.48,2426,2939,3971,74.01,0.7401,,,
POP101086,Shiseido Company Limited,Clé de Peau Beauté,Middle East,Doha,Department Store Atrium,Standalone Pop-Up,2024-09-19,,80,LE-2S5MCAV9,Clé de Peau Beauté Noir Primer,37.99,980,3427,4873,70.33,0.7033,,,
POP101674,Estée Lauder Companies,Bobbi Brown,North America,Chicago,Department Store Atrium,Shop-in-Shop,2024-02-27,2024-03-30,32,LE-TG82GBN5,Bobbi Brown Rouge Blush,48.2,644,2547,3728,68.32,0.6832,,,
POP100464,LVMH,Guerlain,North America,New York,Luxury Mall,Shop-in-Shop,2024-06-14,2024-07-06,22,LE-C4LL95DQ,Guerlain Satin Mascara,61.69,1725,1619,2428,66.68,0.6668,,,
POP100471,Shiseido Company Limited,Shiseido,Asia-Pacific,Singapore,Art/Design District,Flash Event,2024-02-23,2024-04-04,41,LE-T4BSKLWB,Shiseido Glow Mascara,73.49,758,755,1052,71.77,0.7177,,,
POP101672,Estée Lauder Companies,Bobbi Brown,Europe,Milan,Department Store Atrium,Shop-in-Shop,2024-10-10,2024-12-31,82,LE-G1QJUSJQ,Bobbi Brown Mirage Fragrance,339.9,1715,1447,1878,77.05,0.7705,,,
POP101386,Estée Lauder Companies,Tom Ford Beauty,Asia-Pacific,Seoul,Department Store Atrium,Mobile Pop-Up Truck,2025-05-15,2025-06-10,26,LE-LYCUJZ0Q,Tom Ford Beauty Lumière Setting Powder,67.78,1712,1291,2269,56.9,0.569,,,
POP101175,L’Oréal Group,Armani Beauty,North America,Miami,Art/Design District,Standalone Pop-Up,2024-08-21,2024-10-12,52,LE-M5YZ6FCC,Armani Beauty Rouge Setting Powder,49.28,963,3316,4381,75.69,0.7569,,,
POP101486,Shiseido Company Limited,Clé de Peau Beauté,Asia-Pacific,Shanghai,Airport Duty-Free,Mobile Pop-Up Truck,2025-03-20,2025-04-17,28,LE-867B2HS5,Clé de Peau Beauté Noir Setting Powder,79.23,1057,3420,3465,98.7,0.987,,,
POP100707,Private ,Pat McGrath Labs,North America,Chicago,Art/Design District,Shop-in-Shop,2024-04-06,2024-04-13,7,LE-NL8HLI8K,Pat McGrath Labs Satin Serum,174.7,1324,2201,4315,51.01,0.5101,,,
POP100307,Sisley,Sisley-Paris,Asia-Pacific,Singapore,Art/Design District,Mall Kiosk,2024-07-16,2024-08-04,19,LE-Z9EETNGP,Sisley-Paris Mirage Blush,47.63,706,1752,2031,86.26,0.8626,,,
POP100420,Estée Lauder Companies,NARS,Latin America,Bogotá,Art/Design District,Flash Event,2025-01-28,2025-03-01,32,LE-1V3EXMI8,NARS Pearl Highlighter,79.94,642,3251,3938,82.55,0.8255,,,
