"""Event""",,,,,,,,,,,,,,,,,
event_id,brand,parent_company,product_category,sku,product_name,price_usd,region,city,location_type,event_type,start_date,end_date,lease_length_days,avg_daily_footfall,units_sold,units_allocated,sell_through_pct
POP100282,Charlotte Tilbury,Puig,Eye Products,LE-UQYNQA1A,Charlotte Tilbury Glow Mascara,62.21,North America,Miami,Art/Design District,Flash Event,2024-02-25,2024-03-02,6,1107,3056,3089.989889,0.989
POP102014,Valentino Beauty,L’Oréal Group,Eye Products,LE-9E9FTDSM,Valentino Beauty Pearl Eyeshadow Palette,77.93,North America,New York,Airport Duty-Free,Flash Event,2024-03-17,2024-06-09,84,1652,2782,3222.891566,0.8632
POP101719,YSL Beauty,L’Oréal Group,Eye Products,LE-W921CLUG,YSL Beauty Glow Eyeshadow Palette,149.91,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2025-02-26,2025-03-10,12,752,2720,3931.772188,0.6918
POP100994,Hermès Beauty,Hermès International,Fragrances,LE-MPO4BX6H,Hermès Beauty Pearl Highlighter,80.32,North America,Chicago,Airport Duty-Free,Standalone Pop-Up,2025-07-06,2025-08-04,29,1688,203,303.9832285,0.6678
POP102033,Tom Ford Beauty,Estée Lauder Companies,Fragrances,LE-M3D94MYP,Tom Ford Beauty Noir Highlighter,56.15,Europe,London,High-Street,Shop-in-Shop,2024-12-06,2024-12-25,19,1012,1292,1612.98377,0.801
POP100297,Givenchy Beauty,LVMH,Lip Products,LE-XC24B5BF,Givenchy Beauty Opulence Lipstick,38.53,Europe,Madrid,Airport Duty-Free,Mall Kiosk,2025-02-09,2025-04-06,56,1405,489,847.0465962,0.5773
POP102051,Guerlain,LVMH,Other,LE-UM8IQ2M4,Guerlain Satin Blush,64.51,Asia-Pacific,Tokyo,Department Store Atrium,Mobile Pop-Up Truck,2025-01-07,2025-02-25,49,833,594,687.0229008,0.8646
POP101590,Rare Beauty,Private,Face Products,LE-VF37GYEW,Rare Beauty Lumière Setting Powder,58.7,Europe,London,Art/Design District,Mall Kiosk,2024-02-21,2024-05-08,77,951,2480,4404.191085,0.5631
POP100070,Pat McGrath Labs,Private,Other,LE-62JBXHRU,Pat McGrath Labs Satin Blush,47.17,North America,Toronto,Luxury Mall,Shop-in-Shop,2024-07-28,2024-08-19,22,1566,1574,2174.033149,0.724
POP100290,Estée Lauder,Estée Lauder,Other,LE-S5MMVMDZ,Estée Lauder Mirage Highlighter,47.71,Europe,London,Airport Duty-Free,Mall Kiosk,2024-03-31,2024-06-16,77,1333,2538,4149.092692,0.6117
POP101727,Armani Beauty,L’Oréal Group,Fragrances,LE-4U7A4IY2,Armani Beauty Glow Fragrance,118.17,North America,Miami,High-Street,Shop-in-Shop,2024-10-11,2025-01-08,89,2097,3307,3942.066992,0.8389
POP102026,Charlotte Tilbury,Puig,Eye Products,LE-QZSWQGCX,Charlotte Tilbury Opulence Eyeshadow Palette,93.38,Europe,Madrid,Department Store Atrium,Standalone Pop-Up,2024-04-30,2024-06-21,52,1313,2375,3550.074738,0.669
